,Country,DAuser,APRU,Internetpt,internetus,GDPper,AvemarrigeAgewo,Pop,Marriage Rate per 1000 people,Divorce Rate per 1000 people,Medianage,Gender Wage Gap,PD,ID,MC,UA,LTO,IG,Medianagedm,MFC,RF,SF,GFF,DAPrate,DVrate,Year_Gini,Gini,Dev_Dum
35,Ghana,0.54,8.81,0.435,12948691.98,5317.01176,23.700001,29767108,NA,NA,20.4,NA,80,15,40,65,4,72,1,56.126,98.13,60,31.25,0.018140828,NA,2016,43.5,0
36,Greece,0.49,13.3,0.695,7459352.99,30354.349,30.299999,10732882,4.7,1.8,43.299999,15.07,60,35,57,100,45,50,0,79.376,71.88,95,67.5,0.045654094,1.8,2017,34.4,1
37,Guatemala,0.54,10.14,0.59,9644700.5,8647.82154,22.200001,16346950,4.400000095,0.1,21.299999,0.68,95,6,37,98,NA,NA,1,56.9,77.5,66,37.5,0.033033685,0.1,2014,48.3,0
38,Honduras,0.24,8.49,0.381,3652845.882,5806.10101,21.200001,9587522,2.599999905,0.30000001,23,-15.05,80,20,40,50,NA,NA,1,57.526,75.63,81,25,0.025032537,0.30000001,2018,52.1,0
39,Hong Kong,0.67,38.76,0.854,6363154,62513.0323,29.9,7451000,7.300000191,2.5,43.200001,NA,80,20,40,50,NA,NA,0,NA,NA,NA,NA,0.089920816,2.5,2018,53.9,1
40,Hungary,0.41,9.63,0.745,7282795.18,31578.7598,29.4,9775564,5.2,1.9,41.700001,15.12,46,80,88,82,58,31,0,80.25,81.25,100,60,0.041941314,1.9,2017,30.6,1
41,Iceland,0.02,84.08,0.919,324150.599,57742.1503,32.400002,352721,4.6,1.6,36,16.55,30,60,10,50,28,67,0,61.826,89.13,20,90,0.056702039,1.6,2015,26.8,1
42,India,28.35,8.9,0.365,493705324.7,6650.11215,21.4,1352617328,NA,NA,26.700001,NA,77,48,56,40,51,26,1,45.55,73.25,46,31.25,0.020959365,NA,2011,35.7,0
43,Indonesia,7.44,13,0.639,171036935,11639.8651,22.4,267663435,7.599999905,0.69999999,28,NA,78,14,46,48,62,38,1,18.676,28.38,0,32.5,0.027796101,0.69999999,2018,37.8,0
44,"Iran, Islamic Rep.",1.6,9.71,0.628,51370568.93,14526.913,23.1,81800269,NA,NA,30.1,NA,58,41,43,59,14,40,1,11.126,5.63,0,25,0.019559838,NA,2017,40.8,0
45,Iraq,0.59,7.88,0.75,28825200,10911.6379,22.700001,38433600,9.600000381,1.5,19.4,NA,95,30,70,85,25,17,1,6.5,32.5,0,0,0.015351151,1.5,2012,29.5,0
46,Ireland,0.5,23,0.774,3767302.584,84459.6516,32,4867316,4.6,0.69999999,36.900002,13.93,28,70,68,35,24,65,0,79.476,94.38,64,87.5,0.10272602,0.69999999,2016,32.8,1
47,Israel,0.4,24.36,0.747,6635451.6,40261.338,25.1,8882800,6.2,1.7,30.200001,15.1,13,54,47,81,38,NA,1,65.726,74.13,76,51.25,0.045030846,1.7,2016,39,1
48,Italy,4.25,24.13,0.672,40603422.72,42816.203,32.200001,60421760,3.2,1.5,45.900002,6.12,50,75,70,75,61,30,0,72.276,89.38,86,50,0.070338898,1.5,2017,35.9,1
